Intestinal infections due to Cytomegalovirus,巨细胞病毒性肠道感染
Other specified viral intestinal infections,其他特指的病毒性肠道感染
"Viral intestinal infections, unspecified",未特指的病毒性肠道感染
Protozoal intestinal infections,肠道原虫感染
Infections due to Balantidium coli,结肠小袋纤毛虫感染
Giardiasis,贾第虫病
Cryptosporidiosis,隐孢子虫病
Cystoisosporiasis,等孢球虫病
Cystoisosporiasis of small intestine,小肠等孢球虫病
Cystoisosporiasis of colon,结肠等孢球虫病
Other specified cystoisosporiasis,其他特指的等孢球虫病
"Cystoisosporiasis, unspecified",等孢球虫病，未特指的
Sarcocystosis,肉孢子虫病
Blastocystosis,人芽囊原虫病
Amoebiasis,阿米巴病
Intestinal infections due to Entamoeba,内阿米巴属肠道感染
Acute amoebiasis,急性阿米巴病
Amoeboma of intestine,肠阿米巴瘤
"Intestinal infections due to Entamoeba, unspecified",内阿米巴属肠道感染，未特指的
Extraintestinal infections due to Entamoeba,内阿米巴属肠外感染
Amoebic liver abscess,阿米巴肝脓肿
Amoebic lung abscess,阿米巴肺脓肿
Cutaneous amoebiasis,皮肤阿米巴病
Amoebiasis of other specified sites,其他特指部位的阿米巴病
"Amoebiasis, unspecified",未特指的阿米巴病
Other specified protozoal intestinal infections,其他特指的肠道原虫感染
"Protozoal intestinal infections, unspecified",未特指的肠道原虫感染
Gastroenteritis or colitis without specification of infectious agent,未特指感染性病原体的胃肠炎或结肠炎
Gastroenteritis or colitis without specification of origin,未特指病因的胃肠炎或结肠炎
Infectious gastroenteritis or colitis without specification of infectious agent,未特指感染性病原体的感染性胃肠炎或结肠炎
Intestinal fungal infections,真菌性肠感染
Candidosis of gastrointestinal tract,胃肠道念珠菌病
Invasive aspergillosis of the digestive tract,消化道侵袭性曲霉病
Predominantly sexually transmitted infections,以性传播为主要途径的感染性疾患
Syphilis,梅毒
Congenital syphilis,先天性梅毒
"Early congenital syphilis, symptomatic",早期先天性梅毒，有症状
"Early congenital syphilis, latent",早期先天性梅毒，潜伏性
Late congenital syphilitic oculopathy,晚期先天性梅毒眼病
Late congenital neurosyphilis,晚期先天性神经梅毒
"Other late congenital syphilis, symptomatic",其他晚期先天性梅毒，有症状
"Late congenital syphilis, latent",晚期先天性梅毒，潜伏性
"Congenital syphilis, unspecified",未特指的先天性梅毒
Early syphilis,早期梅毒
Primary genital syphilis,一期生殖器梅毒
Primary anal syphilis,一期肛门梅毒
Primary syphilis of other sites,一期其他部位梅毒
Secondary syphilis of skin or mucous membranes,二期皮肤或黏膜梅毒
Secondary syphilis of other sites,二期其他部位梅毒
Latent early syphilis,早期潜伏性梅毒
Other specified early syphilis,其他特指的早期梅毒
"Early syphilis, unspecified",未特指的早期梅毒
Late syphilis,晚期梅毒
Neurosyphilis,神经梅毒
Asymptomatic neurosyphilis,无症状性神经梅毒
Symptomatic late neurosyphilis,有症状性晚期神经梅毒
"Neurosyphilis, unspecified",未特指的神经梅毒
Cardiovascular late syphilis,晚期心血管梅毒
Symptomatic late syphilis of other sites,其他部位有症状性晚期梅毒
Ocular late syphilis,晚期眼梅毒
Late syphilis involving the musculoskeletal system,晚期梅毒累及肌肉骨骼系统
Late syphilis of skin or mucous membranes,晚期皮肤或黏膜梅毒
Symptomatic late syphilis of other specified sites,其他特指部位有症状性晚期梅毒
Symptomatic late syphilis of unspecified site,未特指部位有症状性晚期梅毒
Other specified late syphilis,其他特指的晚期梅毒
"Late syphilis, unspecified",未特指的晚期梅毒
"Latent syphilis, unspecified as early or late",隐性梅毒，未特指早期或晚期
"Syphilis complicating pregnancy, childbirth or the puerperium",梅毒并发于妊娠、分娩或产褥期
"Syphilis, unspecified",未特指的梅毒
Gonococcal infection,淋球菌感染
Gonococcal genitourinary infection,泌尿生殖系淋球菌感染
Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,下泌尿生殖道淋球菌感染不伴尿道周围或邻近腺体脓肿
Gonorrhoea of penis,阴茎淋病
Other specified gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,其他特指的下泌尿生殖道淋球菌感染不伴尿道周围或邻近腺体脓肿
"Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess, unspecified",未特指的下泌尿生殖道淋球菌感染不伴尿道周围或邻近腺体脓肿
Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess,下泌尿生殖道淋球菌感染伴尿道周围或邻近腺体脓肿
Gonococcal infection of other specified genitourinary organ,其他特指的泌尿生殖系淋球菌感染
"Gonococcal genitourinary infection, unspecified",未特指的泌尿生殖系淋球菌感染
Gonococcal pelviperitonitis,淋球菌性盆腔腹膜炎
Gonococcal infection of other sites,其他部位的淋球菌感染
Gonococcal infection of musculoskeletal system,肌肉骨骼系统淋球菌感染
Gonococcal infection of rectum,直肠淋球菌感染
Gonococcal infection of anus,肛门淋球菌感染
Gonococcal pharyngitis,淋菌性咽炎
Gonococcal infection of eye,眼淋球菌感染
Gonococcal infection of other specified sites,其他特指部位的淋球菌感染
Disseminated gonococcal infection,播散性淋球菌感染
"Gonorrhoea complicating pregnancy, childbirth or the puerperium",淋病并发于妊娠、分娩或产褥期
"Gonococcal infection, unspecified",未特指的淋球菌感染
Sexually transmissible infections due to chlamydia,衣原体引起的性传播感染
Chlamydial lymphogranuloma,衣原体淋巴肉芽肿
Non-ulcerative sexually transmitted chlamydial infection,经性传播的非溃疡性衣原体感染
Chlamydial infection of lower genitourinary tract,下泌尿生殖道衣原体感染
Chlamydial infection of internal reproductive organs,内生殖器衣原体感染
Non-ulcerative sexually transmitted chlamydial infection of other specified site,其他特指部位经性传播的非溃疡性衣原体感染
Non-ulcerative sexually transmitted chlamydial infection of unspecified site,未特指部位经性传播的非溃疡性衣原体感染
Other specified sexually transmissible infections due to chlamydia,其他特指的衣原体引起的性传播感染
"Sexually transmissible infections due to chlamydia, unspecified",未特指的衣原体引起的性传播感染
Chancroid,软下疳
Granuloma inguinale,腹股沟肉芽肿
Trichomoniasis,毛滴虫病
Sexually transmissible infestations,性传播侵染
Scabies,疥疮
Classical scabies,经典疥疮
Crusted scabies,结痂性疥疮
Other and unspecified scabies,其他和未特指的疥疮
Anogenital herpes simplex infection,肛门-生殖器单纯疱疹病毒感染
Herpes simplex infection of genitalia or urogenital tract,生殖器或泌尿生殖道单纯疱疹病毒感染
Herpes simplex infection of perianal skin or rectum,肛周皮肤或直肠单纯疱疹病毒感染
Anogenital herpes simplex infection without further specification,肛门生殖器单纯疱疹病毒感染，未进一步特指
Anogenital warts,肛门生殖器疣
Anal warts,肛门疣
Genital warts,生殖器疣
Extragenital condylomata acuminata,外生殖器尖锐湿疣
Sexually transmissible viral hepatitis,性传播性病毒性肝炎
Acute hepatitis B,急性乙型肝炎
Acute hepatitis D,急性丁型肝炎
Herpes simplex labialis,唇单纯疱疹
Herpes simplex gingivostomatitis,单纯疱疹性龈口炎
Vulvovaginal candidosis,外阴阴道念珠菌病
Candida balanoposthitis,念珠菌龟头包皮炎
Human immunodeficiency virus disease,人类免疫缺陷病毒病
Human immunodeficiency virus disease associated with tuberculosis,艾滋病合并结核病
HIV disease clinical stage 1 associated with tuberculosis,艾滋病临床1期合并结核病
HIV disease clinical stage 2 associated with tuberculosis,艾滋病临床2期合并结核病
HIV disease clinical stage 3 associated with tuberculosis,艾滋病临床3期合并结核病
HIV disease clinical stage 4 associated with tuberculosis,艾滋病临床4期合并结核病
Kaposi sarcoma associated with human immunodeficiency virus disease associated with tuberculosis,艾滋病相关卡波西肉瘤合并结核病
Dementia due to human immunodeficiency virus,人类免疫缺陷病毒所致痴呆
HIV retinitis,HIV视网膜炎
Other specified HIV disease clinical stage 4 associated with tuberculosis,其他特指的艾滋病临床4期合并结核病
"HIV disease clinical stage 4 associated with tuberculosis, unspecified",未特指的艾滋病临床4期合并结核病
"Human immunodeficiency disease complicating pregnancy, childbirth or the puerperium",人类免疫缺陷病并发于妊娠、分娩或产褥期
"Human immunodeficiency virus disease associated with tuberculosis, clinical stage unspecified",结核病性人类免疫缺陷病毒病，临床分期未明确
Human immunodeficiency virus disease associated with malaria,艾滋病合并疟疾
HIV disease clinical stage 1 associated with malaria,艾滋病临床1期合并疟疾
HIV disease clinical stage 2 associated with malaria,艾滋病临床2期合并疟疾
HIV disease clinical stage 3 associated with malaria,艾滋病临床3期合并疟疾
HIV disease clinical stage 4 associated with malaria,艾滋病临床4期合并疟疾
Kaposi sarcoma associated with human immunodeficiency virus disease associated with malaria,艾滋病相关卡波西肉瘤合并疟疾
Dementia due to human immunodeficiency virus,人类免疫缺陷病毒所致痴呆
HIV retinitis,HIV视网膜炎
Other specified HIV disease clinical stage 4 associated with malaria,其他特指的艾滋病临床4期合并疟疾
"HIV disease clinical stage 4 associated with malaria, unspecified",未特指的艾滋病临床4期合并疟疾
"Human immunodeficiency disease complicating pregnancy, childbirth or the puerperium",人类免疫缺陷病并发于妊娠、分娩或产褥期
"Human immunodeficiency virus disease associated with malaria, clinical stage unspecified",疟疾性，未特指临床分期性人类免疫缺陷病毒病
Human immunodeficiency virus disease without mention of tuberculosis or malaria,艾滋病未提及是否合并结核病或疟疾
HIV disease clinical stage 1 without mention of tuberculosis or malaria,艾滋病临床1期未提及是否合并结核病或疟疾
HIV disease clinical stage 2 without mention of tuberculosis or malaria,艾滋病临床2期未提及是否合并结核病或疟疾
HIV disease clinical stage 3 without mention of tuberculosis or malaria,艾滋病临床3期未提及是否合并结核病或疟疾
HIV disease clinical stage 4 without mention of tuberculosis or malaria,艾滋病临床4期未提及是否合并结核病或疟疾
Dementia due to human immunodeficiency virus,人类免疫缺陷病毒所致痴呆
HIV retinitis,HIV视网膜炎
"Human immunodeficiency disease complicating pregnancy, childbirth or the puerperium",人类免疫缺陷病并发于妊娠、分娩或产褥期
"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",艾滋病未提及相关疾病或情况，未特指临床分期
Congenital human immunodeficiency virus infection,先天性人类免疫缺陷病毒感染
"Other infections with a predominantly sexual mode of transmission complicating pregnancy, childbirth or the puerperium",主要为性传播模式的其他感染并发于妊娠、分娩或产褥期
Other specified predominantly sexually transmitted infections,其他特指的以性传播为主要途径的感染性疾患
"Predominantly sexually transmitted infections, unspecified",未特指的以性传播为主要途径的感染性疾患
Mycobacterial diseases,分枝杆菌病
Tuberculosis,结核病
Tuberculosis of the respiratory system,呼吸系统结核
"Respiratory tuberculosis, confirmed",呼吸道结核病，确诊病例
"Respiratory tuberculosis, not confirmed",呼吸道结核病，未确诊病例
"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",呼吸道结核病，未提及经细菌学或组织学证实
Tuberculosis of the nervous system,神经系统结核
Tuberculous meningitis,结核性脑脊膜炎
Tuberculous meningoencephalitis,结核性脑膜脑炎
Meningeal tuberculoma,脑膜结核瘤
Tuberculous granuloma of brain,脑结核性肉芽肿
Tuberculous granuloma of the meninges,脑膜结核性肉芽肿
Tuberculosis of other specified part of nervous system,神经系统其他特指部位的结核
"Tuberculosis of the nervous system, unspecified",未特指的神经系统结核
Tuberculosis of other systems and organs,其他系统和器官的结核
Tuberculosis of heart,心脏结核病
Tuberculosis of eye,眼结核病
Tuberculosis of ear,耳结核病
Tuberculosis of endocrine glands,内分泌腺结核病
Tuberculosis of the musculoskeletal system,肌肉骨骼系统结核
Tuberculosis of bones or joints,骨结核病或关节结核病
Tuberculous myositis,结核性肌炎
Tuberculosis of other specified part of the musculoskeletal system,肌肉骨骼系统其他特指部位的结核
"Tuberculosis of the musculoskeletal system, unspecified",未特指的肌肉骨骼系统结核
Tuberculosis of the genitourinary system,泌尿生殖系统结核病
Tuberculous peripheral lymphadenopathy,周围淋巴结结核病
Tuberculosis of the digestive system,消化系统结核病
Cutaneous tuberculosis,皮肤结核病
Tuberculosis of other specified organ or site,其他特指器官或部位的结核
Miliary tuberculosis,粟粒性结核
Acute miliary tuberculosis of a single specified site,单个特指部位的急性粟粒性结核病
Acute miliary tuberculosis of multiple sites,多部位的急性粟粒性结核病
Other specified miliary tuberculosis,其他特指的粟粒性结核
"Miliary tuberculosis, unspecified",未特指的粟粒性结核
Latent tuberculosis,潜伏性结核
Congenital tuberculosis,先天性结核病
"Tuberculosis complicating pregnancy, childbirth or the puerperium",结核并发于妊娠、分娩或产褥期
Tuberculous placenta,胎盘结核
"Other specified tuberculosis complicating pregnancy, childbirth or the puerperium",其他特指的结核并发于妊娠、分娩或产褥期
"Tuberculosis complicating pregnancy, childbirth or the puerperium, unspecified",未特指的结核并发于妊娠、分娩或产褥期
HIV disease clinical stage 1 associated with tuberculosis,艾滋病临床1期合并结核病
HIV disease clinical stage 2 associated with tuberculosis,艾滋病临床2期合并结核病
HIV disease clinical stage 3 associated with tuberculosis,艾滋病临床3期合并结核病
HIV disease clinical stage 4 associated with tuberculosis,艾滋病临床4期合并结核病
Kaposi sarcoma associated with human immunodeficiency virus disease associated with tuberculosis,艾滋病相关卡波西肉瘤合并结核病
Dementia due to human immunodeficiency virus,人类免疫缺陷病毒所致痴呆
HIV retinitis,HIV视网膜炎
Other specified HIV disease clinical stage 4 associated with tuberculosis,其他特指的艾滋病临床4期合并结核病
"HIV disease clinical stage 4 associated with tuberculosis, unspecified",未特指的艾滋病临床4期合并结核病
Human immunodeficiency virus disease associated with tuberculosis,艾滋病合并结核病
HIV disease clinical stage 1 associated with tuberculosis,艾滋病临床1期合并结核病
HIV disease clinical stage 2 associated with tuberculosis,艾滋病临床2期合并结核病
HIV disease clinical stage 3 associated with tuberculosis,艾滋病临床3期合并结核病
HIV disease clinical stage 4 associated with tuberculosis,艾滋病临床4期合并结核病
Kaposi sarcoma associated with human immunodeficiency virus disease associated with tuberculosis,艾滋病相关卡波西肉瘤合并结核病
Dementia due to human immunodeficiency virus,人类免疫缺陷病毒所致痴呆
HIV retinitis,HIV视网膜炎
Other specified HIV disease clinical stage 4 associated with tuberculosis,其他特指的艾滋病临床4期合并结核病
"HIV disease clinical stage 4 associated with tuberculosis, unspecified",未特指的艾滋病临床4期合并结核病
"Human immunodeficiency disease complicating pregnancy, childbirth or the puerperium",人类免疫缺陷病并发于妊娠、分娩或产褥期
"Human immunodeficiency virus disease associated with tuberculosis, clinical stage unspecified",结核病性人类免疫缺陷病毒病，临床分期未明确
Other specified tuberculosis,其他特指的结核病
"Tuberculosis, unspecified",未特指的结核病
Leprosy,麻风病
Paucibacillary leprosy,少菌型麻风病
Multibacillary leprosy,多菌型麻风病
Leprosy reactions,麻风反应
Type I leprosy reaction,I型麻风反应
Type II leprosy reaction,II型麻风反应
Complications of leprosy,麻风病并发症
"Leprosy, unspecified",未特指的麻风病
Infections due to non-tuberculous mycobacteria,非结核分枝杆菌所致感染
Pulmonary infection due to non-tuberculous mycobacterium,肺非结核分枝杆菌感染
Non-tuberculous mycobacterial lymphadenitis,非结核分枝杆菌性淋巴结炎
Cutaneous non-tuberculous mycobacterial infection,皮肤的非结核分枝杆菌感染
Mycobacterium ulcerans infection,溃疡分枝杆菌感染
Cutaneous infection due to other specified non-tuberculous mycobacteria,其他特指的非结核分枝杆菌引起的皮肤感染
Cutaneous infection due to unspecified non-tuberculous mycobacteria,未特指的非结核分枝杆菌引起的皮肤感染
Disseminated non-tuberculous mycobacterial infection,播散性非结核分枝杆菌感染
Gastrointestinal non-tuberculous mycobacterial infection,胃肠道非结核分枝杆菌感染
Non-tuberculous mycobacterial infection of other specified site,其他特指部位的非结核分枝杆菌感染
Non-tuberculous mycobacterial infection of unspecified site,未特指部位的非结核分枝杆菌感染
Other specified mycobacterial diseases,其他特指的分枝杆菌病
"Mycobacterial diseases, unspecified",未特指的分枝杆菌病
Certain staphylococcal or streptococcal diseases,某些葡萄球菌或链球菌性疾病
Acute rheumatic fever,急性风湿热
Acute rheumatic fever without mention of heart involvement,急性风湿热，未提及心脏受累
"Rheumatic arthritis, acute or subacute",急性或亚急性风湿性关节炎
Other specified acute rheumatic fever without mention of heart involvement,其他特指的急性风湿热，未提及心脏受累
"Acute rheumatic fever without mention of heart involvement, unspecified",未特指的急性风湿热，未提及心脏受累
Acute rheumatic fever with heart involvement,急性风湿热伴心脏受累
Acute rheumatic pericarditis,急性风湿性心包炎
Acute rheumatic endocarditis,急性风湿性心内膜炎
Rheumatic aortitis,风湿性主动脉炎
Other specified acute rheumatic endocarditis,其他特指的急性风湿性心内膜炎
"Acute rheumatic endocarditis, unspecified",未特指的急性风湿性心内膜炎
Acute rheumatic myocarditis,急性风湿性心肌炎
Other acute rheumatic heart disease,其他急性风湿性心脏病
"Acute rheumatic heart disease, unspecified",未特指的急性风湿性心脏病
Rheumatic chorea,风湿性舞蹈症
Erythema marginatum rheumaticum,风湿性边缘性红斑
Scarlet fever,猩红热
Streptococcal pharyngitis,链球菌性咽炎
Toxic shock syndrome,中毒性休克综合征
Streptococcal toxic shock syndrome,链球菌中毒性休克综合征
Staphylococcal toxic shock syndrome,葡萄球菌中毒性休克综合征
Meningitis due to Streptococcus,链球菌性脑膜炎
Meningitis due to Staphylococcus,葡萄球菌性脑膜炎
Streptococcal tonsillitis,链球菌性扁桃体炎
Rheumatic myocarditis,风湿性心肌炎
Chronic rheumatic pericarditis,慢性风湿性心包炎
Other specified staphylococcal or streptococcal diseases,其他特指的葡萄球菌或链球菌性疾病
"Staphylococcal or streptococcal diseases, unspecified",未特指的葡萄球菌或链球菌性疾病
Pyogenic bacterial infections of the skin or subcutaneous tissues,皮肤或皮下组织的化脓性细菌感染
"Bacterial cellulitis, erysipelas or lymphangitis",细菌性蜂窝织炎、丹毒或淋巴管炎
Erysipelas,丹毒
Erysipelas of face,面部丹毒
Erysipelas of external ear,外耳丹毒
Erysipelas of lower limb,下肢丹毒
Erysipelas of other specified site,其他特指部位的丹毒
Streptococcal cellulitis of skin,皮肤链球菌性蜂窝织炎
Staphylococcal cellulitis of skin,皮肤葡萄球菌性蜂窝织炎
Ascending bacterial lymphangitis,上行性细菌性淋巴管炎
Bacterial cellulitis or lymphangitis due to other specified bacterium,其他特指的细菌引起的细菌性蜂窝织炎或淋巴管炎
Bacterial cellulitis or lymphangitis due to unspecified bacterium,未特指的细菌引起的细菌性蜂窝织炎或淋巴管炎
Necrotising fasciitis,坏死性筋膜炎
Streptococcal necrotising fasciitis,链球菌性坏死性筋膜炎
Polymicrobial necrotising fasciitis,多种微生物所致坏死性筋膜炎
Neonatal necrotising fasciitis,新生儿坏死性筋膜炎
Necrotising fasciitis due to other specified bacterial infection,其他特指的细菌感染引起的坏死性筋膜炎
"Necrotising fasciitis, unspecified",未特指的坏死性筋膜炎
Impetigo,脓疱病
Bullous impetigo,大疱性脓疱病
Non-bullous impetigo,非-大疱性脓疱病
Secondary impetiginisation of the skin,继发性皮肤脓疱病
Other specified impetigo,其他特指的脓疱病
"Impetigo, unspecified",未特指的脓疱病
Ecthyma,深脓疱病
Streptococcal ecthyma,链球菌深脓疱病
Staphylococcal ecthyma,葡萄球菌深脓疱病
Ecthyma gangrenosum,坏死性深脓疱病
Other specified ecthyma,其他特指的深脓疱病
"Ecthyma, unspecified",未特指的深脓疱病
Superficial bacterial folliculitis,浅表性细菌性毛囊炎
Staphylococcus aureus superficial folliculitis,金黄色葡萄球菌性浅表性毛囊炎
Superficial bacterial folliculitis due to other specified organism,其他特指病原体引起的浅表性细菌性毛囊炎
Superficial bacterial folliculitis due to unspecified organism,未特指病原体引起的浅表性细菌性毛囊炎
Deep bacterial folliculitis or pyogenic abscess of the skin,皮肤深层细菌性毛囊炎或脓性脓肿
Furuncle,疖
Carbuncle,痈
Furunculosis,疖病
Pyogenic abscess of the skin,皮肤脓肿
Sacrococcygeal pilonidal abscess,骶尾部藏毛脓肿
Infected epidermoid cyst,感染性表皮样囊肿
Chronic deep bacterial folliculitis,慢性深部细菌性毛囊炎
Folliculitis cruris pustulosa atrophicans,萎缩性脓疱性小腿毛囊炎
Acute bacterial paronychia,急性细菌性甲沟炎
Other specified pyogenic bacterial infection of skin and subcutaneous tissue,其他特指的皮肤或皮下组织的化脓性细菌感染
Certain zoonotic bacterial diseases,某些动物源性细菌性疾病
Rat-bite fevers,鼠咬热
Spirillosis,螺菌病
Streptobacillosis,链杆菌病
Leptospirosis,钩端螺旋体病
Glanders,鼻疽
Plague,鼠疫
Bubonic plague,黑死病
Cellulocutaneous plague,蜂窝织皮下型鼠疫
Pneumonic plague,肺鼠疫
Plague meningitis,脑膜炎型鼠疫
Other specified plague,其他特指的鼠疫
"Plague, unspecified",未特指的鼠疫
Tularaemia,兔热病
Ulceroglandular tularaemia,溃疡淋巴腺型兔热病[土拉菌病]
Other specified tularaemia,其他特指的兔热病
"Tularaemia, unspecified",未特指的兔热病
Brucellosis,布鲁氏菌病
Erysipeloid,类丹毒
Anthrax,炭疽
Cat-scratch disease,猫抓病
Pasteurellosis,巴斯德菌病
Extraintestinal yersiniosis,肠外耶尔森菌病
Unspecified zoonotic bacterial disease,未特指的动物源性细菌性疾病
Other bacterial diseases,其他细菌性疾病
Actinomycosis,放线菌病
Pulmonary actinomycosis,肺放线菌病
Abdominal actinomycosis,腹部放线菌病
Cervicofacial actinomycosis,面颈部放线菌病
Primary cutaneous actinomycosis,原发性皮肤放线菌病
Other specified forms of actinomycosis,其他特指类型的放线菌病
"Actinomycosis, unspecified",未特指的放线菌病
Bartonellosis,巴尔通体病
Carrion disease,Carrion病
Oroya fever,奥罗亚热
Verruga peruana,秘鲁疣
Trench fever,战壕热
Cat-scratch disease,猫抓病
Other forms of bartonellosis,其他类型的巴尔通体病
Whooping cough,百日咳
Whooping cough due to Bordetella pertussis,百日咳博德特杆菌性百日咳
Whooping cough due to Bordetella parapertussis,副百日咳博德特杆菌引起的百日咳
Other specified whooping cough,其他特指的百日咳
"Whooping cough, unspecified",未特指的百日咳
Tetanus,破伤风
Obstetrical tetanus,产科破伤风
Tetanus neonatorum,新生儿破伤风
Gas gangrene,气性坏疽
Diphtheria,白喉
Pharyngeal or tonsillar diphtheria,咽白喉或扁桃体白喉
Postdiphtheritic paralysis of uvula,白喉后悬雍垂麻痹
Other specified pharyngeal or tonsillar diphtheria,其他特指的咽白喉或扁桃体白喉
"Pharyngeal or tonsillar diphtheria, unspecified",未特指的咽白喉或扁桃体白喉
Nasal diphtheria,鼻白喉
Laryngeal diphtheria,喉白喉
Cutaneous diphtheria,皮肤白喉
Other specified diphtheria,其他特指的白喉
"Diphtheria, unspecified",未特指的白喉
Brazilian purpuric fever,巴西紫癜热
Legionellosis,军团菌病
Nonpneumonic Legionnaires' disease,非肺炎型军团菌病
Legionnaires disease,军团病
Listeriosis,李斯特菌病
Cutaneous listeriosis,皮肤李斯特菌病
Listerial meningitis or meningoencephalitis,李斯特菌脑膜炎或脑膜脑炎
Neonatal listeriosis,新生儿李斯特菌病
Other specified listeriosis,其他特指的李斯特菌病
"Listeriosis, unspecified",未特指的李斯特菌病
Nocardiosis,诺卡菌病
Pulmonary nocardiosis,肺诺卡菌病
Cutaneous nocardiosis,皮肤诺卡菌病
Other specified forms of nocardiosis,其他特指类型的诺卡菌病
"Nocardiosis, unspecified",未特指的诺卡菌病
Meningococcal disease,脑膜炎球菌病
Meningococcal meningitis,脑膜炎球菌脑膜炎
Waterhouse-Friderichsen syndrome,Waterhouse-Friderichsen综合征
Meningococcaemia,脑膜炎球菌性菌血症
Acute meningococcaemia,急性脑膜炎球菌血症
Other specified meningococcaemia,其他特指的脑膜炎球菌性菌血症
"Meningococcaemia, unspecified",未特指的脑膜炎球菌性菌血症
Other specified meningococcal disease,其他特指的脑膜炎球菌病
"Meningococcal disease, unspecified",未特指的脑膜炎球菌病
Yaws,雅司病
Primary yaws,一期雅司
Secondary yaws,二期雅司
Tertiary yaws,三期雅司
Latent yaws,潜伏性雅司病
Pinta,品他病
Primary lesions of pinta,品他病初期损害
Intermediate lesions of pinta,品他病中期损害
Late lesions of pinta,品他病晚期损害
Mixed lesions of pinta,品他病混合性损害
Endemic non-venereal syphilis,地方性非性病性梅毒
Lyme borreliosis,莱姆病
Early cutaneous Lyme borreliosis,早期皮肤莱姆病
Disseminated Lyme borreliosis,播散性莱姆病
Lyme neuroborreliosis,神经莱姆病
Lyme carditis,莱姆心肌炎
Ophthalmic Lyme borreliosis,眼莱姆病
Lyme arthritis,莱姆关节炎
Late cutaneous Lyme borreliosis,晚期皮肤型莱姆病
Other specified disseminated Lyme borreliosis,其他特指的播散性莱姆病
"Disseminated Lyme borreliosis, unspecified",未特指的播散性莱姆病
Other specified Lyme borreliosis,其他特指的莱姆病
Necrotising ulcerative gingivitis,坏死性溃疡性龈炎
Other Vincent infections,其他樊尚感染
Other specified necrotising ulcerative gingivitis,其他特指的坏死性溃疡性龈炎
"Necrotising ulcerative gingivitis, unspecified",未特指的坏死性溃疡性龈炎
Relapsing fever,回归热
Tick-borne relapsing fever,蜱传回归热
Louse-borne relapsing fever,虱传回归热
Other diseases due to chlamydiae,其他衣原体病
Chlamydial conjunctivitis,衣原体性结膜炎
Chlamydial peritonitis,衣原体性腹膜炎
Infections due to Chlamydia psittaci,鹦鹉热衣原体感染
Trachoma,沙眼
Initial stage of trachoma,初期沙眼
Active stage of trachoma,活动期沙眼
Other specified trachoma,其他特指的沙眼
"Trachoma, unspecified",沙眼，未特指的
Other specified diseases due to chlamydiae,其他特指的衣原体病
"Other diseases due to chlamydiae, unspecified",其他衣原体病，未特指的
Rickettsioses,立克次体病
